3624,1000
7420,1000
3812,50
6099,1000
9153,1000
2645,1000
5535,1000
1311,256
4027,1000
7535,1000
280,1000
4346,1000
6992,1000
3532,1000
6619,1000
8441,1000
658,1000
7769,1000
1087,1000
7454,1000
4333,1000
8831,1000
3254,1000
9865,1000
348,1000
637,1000
6712,1000
1409,1000
1567,1000
7398,1000
202,1000
2579,1000
3355,1000
8407,1000
2036,1000
538,1000
2627,1000
5629,1000
5220,1000
608,1000
6790,1000
9252,1000
461,1000
4100,1000
5656,1000
7762,1000
1716,1000
9805,1000
2533,1000
4293,1000
1261,1000
9294,1000
3091,1000
6266,1000
5280,1000
2282,1000
6088,1000
3648,1000
5730,192
1577,1000
1596,1000
4172,1000
1138,1000
6636,1000
3760,1000
8895,1000
8273,1000
8638,1000
8639,639
885,1000
3333,1000
6107,1000
1395,1000
1775,1000
5824,1000
597,1000
9548,1000
9939,1000
4844,1000
1460,1000
6989,1000
4225,1000
3738,1000
478,1000
9511,1000
6394,1000
7724,1000
1801,872
3146,512
8669,1000
639,1000
4300,1000
4361,1000
466,1000
8637,1000
2252,1000
5117,1000
3466,1000
6961,1000
9734,1000
765,1000
2038,1000
8268,1000
8055,1000
8685,1000
2471,1000
3528,1000
4388,554
2436,1000
8646,732
2908,1000
9816,1000
3618,1000
7606,1000
5519,1000
8200,1000
210,866
6487,1000
1424,1000
4717,1000
8060,1000
9372,1000
6469,1000
1602,1000
286,1000
7662,1000
3970,1000
2732,788
4636,1000
5922,1000
4893,1000
6106,1000
4198,1000
8,1000
1616,1000
6029,1000
9193,850
2390,604
318,1000
3434,1000
4169,1000
8069,1000
9850,1000
7838,1000
13,1000
6459,1000
1492,1000
1522,1000
3419,1000
9416,1000
9797,1000
8351,1000
5365,1000
9716,1000
1677,1000
4610,1000
5876,1000
7209,1000
2683,1000
7939,1000
6453,1000
6509,1000
2285,1000
9139,1000
9137,1000
1316,1000
4776,1000
5093,1000
3153,1000
1795,1000
5290,1000
7567,1000
5137,1000
2455,473
46,1000
9520,1000
9621,1000
2023,1000
6129,1000
9684,1000
2378,1000
2583,1000
3922,1000
5510,1000
990,461
9039,1000
4303,1000
4629,1000
8178,1000
1692,1000
6286,1000
5994,1000
4398,1000
4693,1000
3400,1000
3161,1000
1862,399
5312,1000
5117,1000
4102,1000
7724,1000
8470,1000
5428,1000
